pid,el_league,el_level,el_best_level,el_season_year,el_n_seasons,el_gp,el_mpg,el_min_total,el_pts36,el_reb36,el_ast36,el_stl36,el_blk36,el_tov36,el_3pa36,el_fta36,el_pir36,el_3p_pct,el_ft_pct,el_2p_pct,el_ts,el_efg,el_ast_ratio,el_tov_ratio,el_orb_pct,el_drb_pct,el_ftr,el_3par,el_usage36,el_adj_pts36,el_adj_pir36
Pa779a7b0cf,EuroCup,1.3,1.3,2014,1,16.0,16.625,266.0,19.27218045112782,9.960902255639098,1.5157894736842106,1.9488721804511278,0.4330827067669173,3.4646616541353383,0.4330827067669173,5.196992481203007,22.30375939849624,0.5,0.7916666666666666,0.53125,57.6%,52.4%,6.9%,15.7%,13.7%,19%,36.8%,2.5%,20.043067669172935,25.053834586466166,28.99488721804511
P5849f19551,EuroLeague,1.45,1.45,2014,1,27.0,19.3141975308642,521.4833333333333,12.488222698072805,6.896481191473042,2.05030521908658,1.304739684873278,0.5591741506599762,1.6775224519799288,4.47339320527981,4.10061043817316,12.488222698072805,0.2916666666666667,0.6818181818181818,0.48387096774193544,50.7%,46.4%,12.6%,10%,4.8%,16.7%,39.7%,28.8%,13.733317140209017,18.107922912205566,18.107922912205566
Pfc32d168da,EuroLeague,1.45,1.45,2014,3,24.0,27.289583333333336,654.95,21.898465531719978,14.115275975265286,1.3191846705855408,0.5276738682342164,1.1872662035269865,1.846858538819757,0.0,6.991678754103365,33.903046034048394,,0.7924528301886793,0.62,67.2%,62.1%,6.8%,9.3%,13.7%,28.6%,53.3%,0%,18.115043896480646,31.75277502099397,49.15941674937017
P1ef5f1c321,EuroCup,1.3,1.3,2014,1,14.0,17.49047619047619,244.86666666666667,12.555404301660767,4.116526000544514,2.058263000272257,1.234957800163354,0.2058263000272257,1.8524367002450313,3.7048734004900625,3.910699700517288,11.52627280152464,0.4444444444444445,0.7368421052631579,0.45833333333333337,60.3%,55.1%,14.4%,13.3%,0.5%,12.7%,44.1%,25.7%,12.21784916961612,16.322025592158997,14.984154641982032
P35fcccf6c9,EuroLeague,1.45,1.45,2013,1,26.0,10.12051282051282,263.1333333333333,12.449961996453002,10.315682797061058,0.35571319989865724,1.422852799594629,3.9128451988852295,1.422852799594629,0.35571319989865724,2.845705599189258,19.919939194324805,1.0,0.625,0.6086956521739131,61.9%,61.9%,2.3%,12.8%,11.8%,21.4%,34.9%,3.5%,11.212080060805675,18.05244489485685,28.883911831770966
Pf326870436,EuroLeague,1.45,1.45,2014,6,28.0,22.06845238095238,617.9166666666666,12.397788267026296,3.7519622387053273,7.177666891436279,0.8156439649359407,0.0,3.262575859743763,4.241348617666892,1.7944167228590697,13.865947403910992,0.3846153846153846,0.8181818181818181,0.4222222222222222,50%,47%,31.1%,14.3%,1.2%,10.7%,14.9%,18.9%,15.634263519892112,17.97679298718813,20.10562373567094
P96a831649e,EuroCup,1.3,1.45,2016,3,17.0,17.903921568627453,304.3666666666667,20.71054648997919,2.412879202716022,5.026831672325046,2.2118059358230204,0.0,3.2171722702880294,9.249370277078084,5.227904939218048,17.895520753477165,0.32608695652173914,0.7307692307692307,0.5,53.4%,49.3%,18%,12%,1.1%,6.5%,31.2%,33.8%,22.407604862556123,26.92371043697295,23.264176979520315
P4879fe4868,EuroLeague,1.45,1.45,2015,4,31.0,33.269354838709674,1031.35,17.637853299074035,3.67906142434673,5.951422892325593,0.9738692005623698,0.0,2.8133999127357354,6.059630581276967,6.059630581276967,21.31691472342076,0.4107142857142857,0.8571428571428572,0.4615384615384615,61.2%,53.1%,25.9%,12.1%,1.2%,11.5%,51.9%,26.2%,17.166067775246038,25.57488728365735,30.9095263489601
Pef9b8757a6,EuroCup,1.3,1.3,2013,1,16.0,17.34375,277.5,17.43567567567568,12.869189189189191,0.6227027027027027,0.41513513513513517,1.8681081081081081,2.2832432432432435,0.0,6.84972972972973,21.58702702702703,,0.36363636363636365,0.631578947368421,59%,63.7%,3.6%,13.1%,18.3%,22.6%,58.2%,0%,17.128475675675677,22.666378378378383,28.06313513513514
P049f342950,EuroLeague,1.45,1.45,2015,5,23.0,21.252898550724638,488.81666666666666,20.326639162603566,5.759214429404343,1.6938865968836305,1.0163319581301782,0.5081659790650891,2.8796072147021716,5.589825769715981,3.89593917283235,19.649084523850114,0.393939393939394,0.8260869565217391,0.5517241379310345,59.3%,55.5%,8.1%,12.9%,9.7%,10.6%,24.8%,26.1%,20.008188482389443,29.47362678577517,28.491172559582665
Pe5fb05fea3,EuroCup,1.3,1.3,2016,2,14.0,13.577380952380953,190.08333333333334,14.317930732135029,7.424112231477422,0.5302937308198159,0.0,1.5908811924594475,2.3863217886891714,1.0605874616396318,3.181762384918895,10.871021481806224,0.25,0.33333333333333337,0.7058823529411765,62.8%,67%,4%,15.9%,8.4%,16.5%,32.1%,7.9%,13.861878123629987,18.613309951775538,14.132327926348092
Pa4877bedac,EuroLeague,1.45,1.45,2016,2,30.0,18.39333333333333,551.8,14.679231605654225,6.263138818412469,2.1529539688292862,1.3700616165277275,0.3914461761507793,1.1743385284523378,4.697354113809351,2.1529539688292862,18.985139543312798,0.45833333333333337,0.8181818181818181,0.6666666666666667,72.2%,69.7%,16.2%,9.1%,5.5%,15.3%,23.2%,33.9%,11.516346502355926,21.284885828198625,27.528452337803557
Pd13759b893,EuroLeague,1.45,1.45,2016,3,25.0,22.671999999999997,566.8,20.800988002822866,3.4932956951305583,4.763585038814397,1.429075511644319,0.15878616796047992,2.064220183486239,6.351446718419196,4.128440366972478,20.800988002822866,0.35,0.6923076923076923,0.5806451612903226,57.9%,55.7%,19.2%,8.4%,3.2%,8.3%,25.1%,25.6%,20.07692307692308,30.161432604093154,30.161432604093154
Pd9320fa884,EuroLeague,1.45,1.45,2016,9,29.0,27.628735632183908,801.2333333333333,20.97815867204726,2.7362815659192083,8.860340308690768,0.7817947331197737,0.0,3.9089736655988685,9.120938553064027,5.211964887465158,22.28114989391355,0.38571428571428573,0.9,0.5609756097560976,62.6%,56.4%,29.9%,13.4%,0.8%,8%,36%,30.7%,20.665440778799354,30.41833007446853,32.30766734617465
P4d32b8b12e,EuroCup,1.3,1.3,2016,1,17.0,23.106862745098038,392.81666666666666,15.112393398107685,10.282659425516568,2.1811701811701814,1.4021808307522594,1.4021808307522594,2.025372311086597,4.518138232423946,3.2717552717552723,21.65590394161823,0.4482758620689655,0.8095238095238094,0.5526315789473685,63.3%,59.1%,13.1%,12.5%,12.6%,20.7%,30.4%,28.5%,13.90340192625907,19.64611141753999,28.152675124103702
Pcaa6f4e965,EuroLeague,1.45,1.45,2017,2,33.0,25.946969696969695,856.25,22.199124087591244,6.659737226277372,5.966014598540146,1.526189781021898,0.41623357664233573,3.1911240875912408,7.214715328467155,8.18592700729927,29.83007299270073,0.3269230769230769,0.8135593220338982,0.5769230769230769,61.2%,53.3%,21.8%,11.7%,3.8%,17.6%,56.6%,26.6%,21.222362627737226,32.1887299270073,43.25360583941606
P61add2364f,EuroCup,1.3,1.3,2017,1,16.0,20.160416666666666,322.56666666666666,18.749612483207606,5.714167613929937,1.6071096414177948,1.2499741655471737,0.35713547587062106,2.4999483310943473,6.0713030898005576,4.999896662188695,19.285315697013537,0.35294117647058826,0.7500000000000001,0.5609756097560976,60.1%,55.8%,8%,12.5%,2.6%,16.2%,37.5%,31.3%,18.092483207605664,24.37449622816989,25.070910406117598
