pid,wk_level,wk_best_level,wk_season_end,wk_n_seasons,wk_gp,wk_mpg,wk_min_total,wk_pts36,wk_reb36,wk_ast36,wk_stl36,wk_blk36,wk_fg_pct,wk_3p_pct,wk_ft_pct,wk_adj_pts36,wk_is_college_row
P58604dcdcf,1.0,1.0,2017,4,37.0,32.4,1198.8,15.555555555555555,7.333333333333333,3.0,0.888888888888889,0.4444444444444445,0.457,0.314,0.587,15.555555555555555,1.0
P3e493925a2,1.0,1.0,2015,1,12.0,31.6,379.20000000000005,20.50632911392405,7.177215189873417,6.7215189873417724,1.8227848101265822,0.11392405063291139,0.478,0.342,0.574,20.50632911392405,0.0
Pa779a7b0cf,1.3,1.45,2015,2,16.0,16.6,265.6,19.30120481927711,9.97590361445783,1.5180722891566263,1.9518072289156625,0.6506024096385541,0.519,0.25,0.795,25.091566265060244,0.0
P6c859977a5,1.0,1.0,2015,4,36.0,36.7,1321.2,20.305177111716617,4.316076294277929,3.7275204359673015,1.0790190735694822,0.0,0.448,0.357,0.925,20.305177111716617,1.0
P5849f19551,1.45,1.45,2015,2,7.0,0.397,2.779,607.5566750629723,99.74811083123426,63.47607052896725,27.204030226700247,607.5566750629723,0.303,0.667,3.7,880.9571788413099,0.0
Pfc32d168da,1.45,1.45,2015,3,24.0,0.621,14.904,1489.855072463768,57.971014492753625,23.18840579710145,52.17391304347826,962.3188405797102,,0.781,10.7,2160.2898550724635,0.0
P1ef5f1c321,1.45,1.45,2014,1,10.0,15.1,151.0,5.960264900662252,6.437086092715232,2.1456953642384105,0.4768211920529802,0.2384105960264901,0.355,0.143,0.5,8.642384105960264,0.0
P35fcccf6c9,1.45,1.45,2014,1,26.0,10.1,262.59999999999997,12.475247524752476,10.336633663366337,0.3564356435643565,1.425742574257426,3.920792079207921,0.603,0.667,0.545,18.08910891089109,0.0
Pf326870436,1.45,1.45,2015,9,16.0,0.403,6.448,759.3052109181141,393.0521091811414,44.66501240694789,0.0,678.9081885856078,0.365,0.833,2.3,1100.9925558312655,0.0
Pcb1e0b77ca,1.0,1.0,2010,4,34.0,32.6,1108.4,19.32515337423313,3.202453987730061,3.0920245398773005,1.5460122699386503,0.11042944785276074,0.447,0.406,0.848,19.32515337423313,1.0
P4879fe4868,1.45,1.45,2016,2,31.0,33.3,1032.3,17.621621621621625,3.675675675675676,5.9459459459459465,0.972972972972973,0.0,0.427,0.402,0.851,25.551351351351354,0.0
Pe528778159,1.0,1.0,2014,4,32.0,35.5,1136.0,18.253521126760564,3.143661971830986,3.954929577464789,2.4338028169014083,0.10140845070422536,0.424,0.29,0.746,18.253521126760564,1.0
P53f786523f,1.45,1.45,2016,1,7.0,10.5,73.5,7.200000000000001,4.8,2.057142857142857,1.0285714285714285,1.3714285714285714,0.333,0.25,0.5,10.440000000000001,0.0
P9c2d575f48,1.0,1.0,2016,2,42.0,34.2,1436.4,16.63157894736842,10.210526315789473,1.5789473684210524,1.1578947368421053,3.263157894736842,0.603,0.6,0.758,16.63157894736842,0.0
P9260f65add,1.0,1.0,2016,3,35.0,36.7,1284.5,23.93460490463215,4.217983651226157,9.122615803814714,,,0.44,0.355,0.848,23.93460490463215,1.0
P83cf60968a,1.3,1.3,2016,3,5.0,0.339,1.695,499.11504424778764,42.477876106194685,21.238938053097343,95.57522123893804,615.9292035398229,0.421,0.75,5.4,648.849557522124,0.0
Paca468f5b5,1.45,1.45,2016,1,6.0,5.0,30.0,10.8,12.239999999999998,,,2.1599999999999997,0.308,,0.5,15.66,0.0
