pid,bio_combine_wingspan_in,bio_combine_reach_in,bio_combine_height_in,bio_combine_weight_lb,bio_measure_src
Pcaa6f4e965,,105.5,,228.0,4
P4d03279429,85.0,,,,4
Pf5ec6d144b,80.0,,,,4
Pefc5241948,83.75,106.5,80.5,,4
P25e61f80f8,81.0,102.0,,186.0,4
P46cfb45fde,84.0,100.0,,,4
P964dd1e5f4,87.0,,,,4
Pd7c989b67a,85.5,105.0,79.0,,4
P83cf60968a,85.0,,84.5,220.0,4
Pcf60b82b9d,83.0,,,,4
Pf1eb0b11c1,90.0,,85.25,230.0,2
P6c859977a5,77.0,94.5,72.75,182.2,1
Pbac4f67696,93.0,,,,4
Pe73b4eac92,91.0,,,,4
P2ad610b277,87.0,,,196.0,3
P9cc36d2c64,84.0,,,,4
P31bc34ca23,85.0,,,226.0,4
P2606a3d161,82.25,106.0,81.0,210.0,4
P440f6cc00f,87.0,109.0,,278.0,4
Pabb4255b19,93.0,115.0,,262.0,5
Pdc16ca4e2e,84.0,,,,4
