pid,intl_age,intl_ast36,intl_ast_pct,intl_best_level,intl_blk36,intl_drb_pct,intl_efg_pct,intl_fg3_pct,intl_fg3ar,intl_ft_pct,intl_ftar,intl_gp,intl_impact,intl_last_level,intl_level,intl_lg_adj_pts36,intl_lg_strength,intl_minutes,intl_mpg,intl_n_seasons,intl_orb_pct,intl_prev_pts36,intl_pts36,intl_reb36,intl_season_gap,intl_src,intl_stl36,intl_tov_pct,intl_ts_pct,intl_two_minutes,intl_two_pts36,intl_usg_pct
P099a8d0c1c,,,,,,,,,,,,,,,,8.4312,0.3,,,,,,,,2,0,,,,,,
P5afd5b991d,,,,,,,,,,,,,,,,3.8286,0.3,,,,,,,,2,0,,,,,,
P2f15d5867f,,,,,,,,,,,,,,,,17.6604,1.0,,,,,,,,0,0,,,,,,
P5ea12f1777,,,,,,,,,,,,,,,,13.6678,1.0,,,,,,,,0,0,,,,,,
Pd11ab06c36,,,,,,,,,,,,,,,,6.5391,0.3,,,,,,,,2,0,,,,,,
P3e3a854ff5,,,,,,,,,,,,,,,,4.111,0.3,,,,,,,,0,0,,,,,,
Pc6a39f466a,,,,,,,,,,,,,,,,11.232,1.0,,,,,,,,0,0,,,,,,
Pd382320a3c,,,,,,,,,,,,,,,,7.6881,0.3,,,,,,,,4,0,,,,,,
Pce1d0d3699,,,,,,,,,,,,,,,,13.7006,0.72,,,,,,,,0,0,,,,,,
P6b0e9b0b2a,,,,,,,,,,,,,,,,12.4108,0.72,,,,,,,,0,0,,,,,,
P11475d8eed,,,,,,,,,,,,,,,,6.0574,1.0,,,,,,,,0,0,,,,,,
Pdacd6ab94d,,,,,,,,,,,,,,,,12.0776,1.0,,,,,,,,0,0,,,,,,
P38dadf836a,,,,,,,,,,,,,,,,8.2567,0.72,,,,,,,,0,0,,,,,,
P0820723beb,,,,,,,,,,,,,,,,13.9752,1.0,,,,,,,,0,0,,,,,,
P927dcf71a8,,,,,,,,,,,,,,,,17.8693,1.0,,,,,,,,0,0,,,,,,
Pf4d757d073,,,,,,,,,,,,,,,,22.7745,1.0,,,,,,,,0,0,,,,,,
P5840594df8,,,,,,,,,,,,,,,,15.9824,1.0,,,,,,,,0,0,,,,,,
P32b8c3a5cb,,,,,,,,,,,,,,,,12.0301,0.72,,,,,,,,0,0,,,,,,
Pef98a54ad0,,,,,,,,,,,,,,,,3.888,0.3,,,,,,,,4,0,,,,,,
P103e95dd1f,,,,,,,,,,,,,,,,12.7397,0.72,,,,,,,,1,0,,,,,,
Pb8998ddf4a,,,,,,,,,,,,,,,,12.6096,0.85,,,,,,,,0,0,,,,,,
P1605b30cec,,,,,,,,,,,,,,,,14.5186,0.85,,,,,,,,1,0,,,,,,
P6d9b6a98b1,,,,,,,,,,,,,,,,19.0065,1.0,,,,,,,,0,0,,,,,,
Pb9c495a67d,,,,,,,,,,,,,,,,8.1209,0.3,,,,,,,,2,0,,,,,,
P3e493925a2,18.95,6.7215,NA,3.0,0.1139,NA,NA,0.342,NA,0.574,NA,12.0,NA,3.0,3.0,11.2785,0.55,379.2,31.6,1.0,NA,NA,20.5063,7.1772,0,1,1.8228,NA,NA,379.2,20.506,NA
P9a02cf437c,,,,,,,,,,,,,,,,4.0255,0.3,,,,,,,,1,0,,,,,,
Pb067831a66,,,,,,,,,,,,,,,,7.1357,0.3,,,,,,,,5,0,,,,,,
Pf634b73f97,,,,,,,,,,,,,,,,3.4714,0.3,,,,,,,,4,0,,,,,,
P5a591d3e24,,,,,,,,,,,,,,,,5.7661,0.3,,,,,,,,4,0,,,,,,
Pc3390f55d0,,,,,,,,,,,,,,,,6.975,0.3,,,,,,,,1,0,,,,,,
Peaf1686cc0,,,,,,,,,,,,,,,,5.0494,0.3,,,,,,,,1,0,,,,,,
P2297a93a7f,,,,,,,,,,,,,,,,6.7559,0.3,,,,,,,,2,0,,,,,,
Pf21d262b1c,,,,,,,,,,,,,,,,NA,0.3,,,,,,,,3,0,,,,,,
Pc381c2ab50,,,,,,,,,,,,,,,,15.8638,0.72,,,,,,,,0,0,,,,,,
P9b79feb6a3,,,,,,,,,,,,,,,,17.7527,0.85,,,,,,,,0,0,,,,,,
Pa779a7b0cf,,,,,,,,,,,,,,,,17.0368,0.8865,,,,,16.029,,,0,0,,,,1489.9,17.603,
Pc5e9e5bdd9,,,,,,,,,,,,,,,,15.8342,0.85,,,,,,,,0,0,,,,,,
P49f423e70e,,,,,,,,,,,,,,,,15.2505,0.72,,,,,,,,0,0,,,,,,
P4074fe9b9e,,,,,,,,,,,,,,,,9.7475,0.72,,,,,,,,0,0,,,,,,
P5849f19551,,,,,,,,,,,,,,,,13.8333,1.0,,,,,11.793,,,0,0,,,,671.9,12.339,
P04e5776a76,,,,,,,,,,,,,,,,4.2974,0.3,,,,,,,,4,0,,,,,,
Pfc32d168da,,,,,,,,,,,,,,,,18.4821,1.0,,,,,19.538,,,0,0,,,,854.2,21.342,
P0029c9d3a9,,,,,,,,,,,,,,,,3.3319,0.3,,,,,,,,4,0,,,,,,
P1ef5f1c321,,,,,,,,,,,,,,,,12.4966,1.0,,,,,,,,0,0,,,,,,
P9f8d851f22,,,,,,,,,,,,,,,,8.7373,1.0,,,,,,,,0,0,,,,,,
P35fcccf6c9,,,,,,,,,,,,,,,,16.464,1.0,,,,,,,,1,0,,,,,,
P7312c1c32d,,,,,,,,,,,,,,,,9.5039,0.72,,,,,,,,0,0,,,,,,
Pf326870436,31.49,7.4949,,4.0,0.0,10.7,47.0,0.3477,0.189,0.8535,0.149,62.0,8.5006,4.0,4.0,12.0363,0.9461,1343.0,21.6613,11.0,1.2,14.102,12.722,3.7313,0,2,1.0133,,50.0,2666.1,13.407,
Pb88771c23a,,,,,,,,,,,,,,,,12.8206,0.72,,,,,,,,0,0,,,,,,
P96a831649e,,,,,,,,,,,,,,,,20.6987,1.0,,,,,,,,0,0,,,,,,
Pcb1e0b77ca,,,,,,,,,,,,,,,,16.1853,0.72,,,,,,,,3,0,,,,,,
P4879fe4868,,,,,,,,,,,,,,,,17.5925,1.0,,,,,NA,,,0,0,,,,1032.3,17.622,
Pe528778159,,,,,,,,,,,,,,,,16.6798,0.85,,,,,,,,1,0,,,,,,
Pef9b8757a6,,,,,,,,,,,,,,,,13.0235,0.8,,,,,16.42,,,0,0,,,,1834.4,16.463,
P7ab7e9a49e,,,,,,,,,,,,,,,,5.3701,0.72,,,,,,,,0,0,,,,,,
P53f786523f,,,,,,,,,,,,,,,,7.3187,1.0,,,,,NA,,,0,0,,,,73.5,7.2,
P620501ed0d,,,,,,,,,,,,,,,,14.7857,1.0,,,,,,,,1,0,,,,,,
P9264b6e63a,,,,,,,,,,,,,,,,7.8429,0.3,,,,,,,,2,0,,,,,,
Pf9ebd1b271,,,,,,,,,,,,,,,,6.5368,0.3,,,,,,,,2,0,,,,,,
P9c2d575f48,20.09,1.5789,NA,3.0,3.2632,NA,NA,0.6,NA,0.758,NA,42.0,NA,3.0,3.0,9.1474,0.55,1436.4,34.2,2.0,NA,17.32,16.6316,10.2105,0,1,1.1579,NA,NA,2338.5,16.897,NA
Pfa4c05beee,,,,,,,,,,,,,,,,6.1902,0.3,,,,,,,,2,0,,,,,,
Pb3a7a6f86b,,,,,,,,,,,,,,,,6.0152,0.3,,,,,,,,2,0,,,,,,
P8a2a3c7c07,,,,,,,,,,,,,,,,NA,0.3,,,,,,,,2,0,,,,,,
Pfd95ad31d4,,,,,,,,,,,,,,,,6.7279,0.3,,,,,,,,4,0,,,,,,
Pe40a7b9665,,,,,,,,,,,,,,,,6.984,0.3,,,,,,,,5,0,,,,,,
Pcb0e772806,,,,,,,,,,,,,,,,11.7503,0.6926,,,,,12.844,,,0,0,,,,1830.6,15.241,
P1a32cd4176,,,,,,,,,,,,,,,,14.1917,0.72,,,,,,,,0,0,,,,,,
Pb920680006,,,,,,,,,,,,,,,,16.0188,0.85,,,,,,,,0,0,,,,,,
P80ec619552,,,,,,,,,,,,,,,,11.5694,0.85,,,,,,,,0,0,,,,,,
P83cf60968a,,,,,,,,,,,,,,,,7.5042,0.7724,,,,,9.164,,,0,0,,,,1454.9,13.045,
P7222e0f90b,20.39,0.9114,NA,3.0,0.4557,NA,NA,0.358,NA,0.717,NA,34.0,NA,3.0,3.0,13.2608,0.9,805.8,23.7,3.0,NA,8.64,14.7342,8.6582,0,1,1.2152,NA,NA,1085.8,13.163,NA
Pd7c989b67a,,,,,,,,,,,,,,,,3.6889,0.3,,,,,,,,1,0,,,,,,
P64adb31e4d,,,,,,,,,,,,,,,,NA,0.72,,,,,,,,0,0,,,,,,
Paca468f5b5,,,,,,,,,,,,,,,,NA,0.7486,,,,,13.545,,,0,0,,,,405.1,17.809,
Pcf60b82b9d,,,,,,,,,,,,,,,,13.8427,1.0,,,,,9.354,,,0,0,,,,190.1,11.912,
P049f342950,,,,,,,,,,,,,,,,18.8463,1.0,,,,,16.514,,,0,0,,,,1013.1,18.336,
P982f4d9f47,,,,,,,,,,,,,,,,7.1951,0.85,,,,,,,,0,0,,,,,,
P94ee422c65,,,,,,,,,,,,,,,,11.3068,0.72,,,,,,,,0,0,,,,,,
Pfafab37502,,,,,,,,,,,,,,,,11.4557,0.85,,,,,,,,1,0,,,,,,
P8e9f5cd10b,,,,,,,,,,,,,,,,7.2269,0.85,,,,,,,,0,0,,,,,,
P6f658be6bb,,,,,,,,,,,,,,,,5.13,0.3,,,,,,,,3,0,,,,,,
Pe1b87bba68,,,,,,,,,,,,,,,,18.1635,0.85,,,,,,,,0,0,,,,,,
Pe0da967ad1,,,,,,,,,,,,,,,,5.1285,0.3,,,,,,,,5,0,,,,,,
