pid,draft_year,was_drafted,declared_only,path,bio_pos,bio_height_in,bio_weight_lb,bio_pos_code,bio_age_at_draft,bio_combine_height_in,bio_combine_weight_lb,bio_combine_wingspan_in,bio_combine_reach_in,bio_combine_body_fat_pct,bio_combine_hand_length_in,bio_combine_hand_width_in,bio_combine_vertical_standing_in,bio_combine_vertical_max_in,bio_combine_lane_agility_s,bio_combine_sprint_s,bio_combine_bench_reps,bio_combine_wingspan_minus_height_in,bio_country_usa,col_age,col_gp,col_mpg,col_pts36,col_reb36,col_ast36,col_stl36,col_blk36,col_usg_pct,col_ts_pct,col_efg_pct,col_ast_pct,col_tov_pct,col_orb_pct,col_drb_pct,col_stl_pct,col_blk_pct,col_fg3ar,col_ftar,col_ft_pct,col_fg3_pct,col_fg2_pct,col_ortg,col_drtg,col_adj_ortg,col_adj_drtg,col_impact,col_impact_off,col_impact_def,col_value,col_recruit_score,col_rim_fga_share,col_rim_fg_pct,col_mid_fga_share,col_mid_fg_pct,col_dunks_per40,col_games_missed,col_minutes_share,col_usage_rank_team,col_bpm_rank_team,col_team_strength,col_bpm_pct_class,col_bpm_pct_age,col_usg_pct_age,col_ts_pct_age,col_ast_pct_age,col_stl_pct_age,col_blk_pct_age,col_bpm_pct_role,col_usg_pct_role,col_ast_pct_role,col_stl_pct_role,col_blk_pct_role,col_orb_pct_role,col_ts_pct_role,col_shot_proj_3p,col_fg3a_per40,col_gl_team_rank,col_gl_share_20min,col_gl_late_minus_early_pts40,col_gl_late_minus_early_ts,col_gl_late_minus_early_mpg,col_gl_top50_games,col_gl_top50_pts40,col_gl_top50_ts,col_gl_top50_gap_pts40,col_gl_top50_gap_ts,col_gl_mean_opp_rank,col_gl_ncaa_games,col_gl_ncaa_pts40,col_gl_ncaa_ts,col_gl_game_score_sd,col_gl_game_score_cv,col_gl_best5_game_score,col_gl_worst5_game_score,col_lu_on_off_net,col_lu_on_net,col_lu_rapm,col_lu_orapm,col_lu_drapm,col_lu_poss_on,col_lu_reliable,col_hm_share_rim,col_hm_fg_rim,col_hm_assisted_rim,col_hm_share_2pt_j,col_hm_fg_2pt_j,col_hm_assisted_2pt_j,col_hm_share_3,col_hm_assisted_3,col_hm_putback_share,col_sc_unassisted_rim,col_sc_unassisted_3,col_sc_self_created,col_pts_pg,col_reb_pg,col_ast_pg,col_stl_pg,col_blk_pg,col_final_season,col_class_index,col_n_seasons,col_minutes_total,col_first_bpm,col_bpm_delta,col_first_usg,col_usg_delta,col_bpm_mean,col_bpm_max,col_final_is_current,col_z_impact,col_z_ts_pct,col_z_usg_pct,col_z_ast_pct,col_z_stl_pct,col_z_blk_pct,col_z_orb_pct,col_z_fg3ar,col_z_pts36,bio_bmi_proxy,intl_age,intl_gp,intl_minutes,intl_mpg,intl_pts36,intl_reb36,intl_ast36,intl_stl36,intl_blk36,intl_usg_pct,intl_ts_pct,intl_efg_pct,intl_ast_pct,intl_tov_pct,intl_orb_pct,intl_drb_pct,intl_fg3ar,intl_ftar,intl_ft_pct,intl_fg3_pct,intl_impact,intl_level,intl_last_level,intl_n_seasons,intl_best_level,intl_youth_pts36,intl_youth_n,hs_mcdonalds_aa,hs_jordan_brand,hs_hoop_summit,hs_recruit_rank_first,hs_recruit_rank_final,hs_recruit_rank_delta,hs_recruit_rank_points,hs_rsci_rank,pre_transferred,pre_redshirt,pre_medical_redshirt,pre_withdrew_previous_draft,pre_green_room_invite,pre_n_schools,cons_mock_consensus_rank,cons_mock_best_rank,cons_mock_n_sources,cons_bigboard_consensus_rank,med_n_injuries,med_n_surgeries,med_major_injury,med_red_flag,med_months_since_injury,scout_motor,scout_feel_iq,scout_shooting_mechanics,scout_athleticism,scout_defense,scout_size_for_position,scout_ball_skills,scout_upside,scout_floor,scout_character_concern,scout_injury_concern,scout_consistency_concern,scout_age_concern,scout_overall_tone,scout_n_reports,cs_spot_15ft_pct,cs_spot_college3_pct,cs_spot_nba3_pct,cs_spot_attempts,cs_offdrib_15ft_pct,cs_offdrib_college3_pct,cs_onmove_15ft_pct,cs_onmove_college_pct,txt_has_report,txt_words,y_early_war,y_early_war_log,y_redraft_rank,y_early_tier,y_early_tier_code,y_career_tier,y_draft_outcome,y_second_contract_aav,y_earnings_first5,y_all_star_selections,y_minutes_5yr,y_games_5yr,y_allstar_5yr,y_nba_seasons_total,y_s1_minutes,y_s1_war,y_s1_impact,y_s1_pts36,y_s1_tier_code,y_s2_minutes,y_s2_war,y_s2_impact,y_s2_pts36,y_s2_tier_code,y_s3_minutes,y_s3_war,y_s3_impact,y_s3_pts36,y_s3_tier_code,y_s4_minutes,y_s4_war,y_s4_impact,y_s4_pts36,y_s4_tier_code,y_s5_minutes,y_s5_war,y_s5_impact,y_s5_pts36,y_s5_tier_code,intl_lg_adj_pts36,intl_lg_strength,intl_prev_pts36,intl_season_gap,intl_src,intl_two_minutes,intl_two_pts36,col_basic_fill,bio_measure_src
P58604dcdcf,2017,0,0,other,,,212.0,,,,,,,,,,,,,,,,1,,37.0,32.4,15.556,7.333,3.0,0.889,0.444,,,,,,,,,,,,0.587,0.314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.102048089,0.0972,62.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,122.0,9.0,0.0,1,122.0,0.102048089,-0.993025951,8.297540983606558,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,1.0,0.0
P379acc01ca,2004,0,0,other,,,212.0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,-0.056497718,0.0,40.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,116.0,10.0,0.0,1,116.0,-0.056497718,-3.696731341,7.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
P16f60c6002,2016,0,0,other,,,212.0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,0.003804261,0.0038,43.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,287.0,30.0,0.0,1,287.0,0.003804261,-2.709971934,11.6,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
P267f5baf8e,2008,0,0,other,,,212.0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,-0.093271736,0.0,48.0,bust_track,1.0,cup_of_coffee,undrafted,,,0.0,28.0,10.0,0.0,1,28.0,-0.093271736,-8.89977849,8.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0
P8955b1a9c4,2000,0,0,other,,,212.0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0,,-0.211918477,0.0,47.0,bust_track,1.0,fringe,undrafted,,,0.0,1256.0,137.0,0.0,5,38.0,-0.037943014,-4.009077512,24.4,0.0,600.0,0.531772753,-1.14963898,19.9,1.0,412.0,-0.602875998,-5.606074984,17.4,0.0,114.0,-0.116524156,-4.563958756,16.863157894736844,0.0,92.0,0.013651938,-2.458622777,18.5,0.0,,,,,0.0,,,0.0,0.0
P099a8d0c1c,2005,1,0,college_2008plus,C,84.0,251.0,6.0,20.57,83.0,250.6,87.0,110.5,,,,27.5,33.5,12.06,3.51,13.0,4.0,0,20.42,35.0,36.4,20.205494505494507,12.065934065934066,2.314285714285714,0.9593406593406594,1.83956043956044,27.6,65.7,63.0,17.5,11.5,10.0,20.8,1.8,6.0,0.0551876379690949,0.4589999999999999,0.692,0.36,0.636,,,,,,,,,,,,,,,0.0,0.182,1.0,,0.0,,,,,,,,,96.0,94.0,54.0,91.0,80.0,97.0,0.516,0.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.43,12.2,2.34,0.97,1.86,2005.0,2.0,2.0,1274.0,,,,,,,1.0,,1.981,1.74,0.545,-0.265,1.804,1.331,-1.08,2.081,25.0,18.61,8.0,269.0,33.625,28.104089219330856,18.2007434944238,2.676579925650558,1.204460966542751,1.6059479553903346,24.9671375464684,65.4,60.546875,,,,,0.1015625,0.578125,0.7432432432432432,0.3846153846153846,36.125,1.0,1.0,1.0,1.0,28.104089219330856,1.0,0,0,0,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,,0.0,0.0,0.0,0.0,,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,1.0,0.0,1.0,0.0,1.0,1.0,,,,0.0,,,,,1,373.0,18.22398598,2.9562,6.0,star_track,4.0,semi_star,met_expectations,13000000.0,30292310.0,0.0,10679.0,331.0,0.0,14,2348.0,4.796840181,0.999526424,12.9,2.0,2258.0,1.464955386,-1.474616753,14.0,1.0,2720.0,2.333524877,-1.061692057,16.2,1.0,1124.0,2.438516624,1.508386075,14.599999999999998,3.0,2229.0,7.190148912,3.610125094,19.3,4.0,8.4312,0.3,,2.0,0.0,,,0.0,1.0
P3470a61a00,2005,1,0,college_2008plus,F,80.0,228.0,4.0,19.02,79.0,228.2,87.5,108.0,,,,29.5,35.0,11.11,3.17,12.0,8.5,1,18.86,36.0,22.3,18.25829596412556,10.59013452914798,1.1623318385650223,1.7434977578475337,0.758744394618834,20.7,63.8,54.5,5.4,14.0,7.9,21.3,2.5,2.0,0.1781376518218623,0.66,0.847,0.432,0.522,,,,,,,,,,,,,,,1.0,0.108,4.0,,0.0,,,,,,,,,61.0,17.0,84.0,50.0,54.0,95.0,0.612,2.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.31,6.56,0.72,1.08,0.47,2005.0,1.0,1.0,802.8000000000001,,,20.7,0.0,,,1.0,,1.682,0.316,-1.093,0.52,0.076,0.713,-0.572,1.581,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,5.0,7.0,2.0,5.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,,0.0,0.0,0.0,0.0,,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,0.0,,,,,1,408.0,7.488700933,2.1387,19.0,starter_track,3.0,starter,met_expectations,8287500.0,25660543.0,0.0,11457.0,365.0,0.0,15,1952.0,0.479315598,-2.26953327,13.7,0.0,2179.0,-1.138096455,-3.775153705,15.4,0.0,2765.0,0.835857332,-2.192935223,16.9,0.0,2093.0,3.300815154,0.233181172,16.2,2.0,2468.0,4.010809304,0.054114529,13.3,2.0,,,,,0.0,,,0.0,1.0
P5e4491e5c3,2005,1,0,college_2008plus,G,72.0,178.0,2.0,20.14,71.75,178.0,76.25,93.0,,,,32.0,38.0,11.09,3.22,10.0,4.5,1,19.98,32.0,34.0,16.147058823529413,4.764705882352941,7.009411764705883,2.52,0.0317647058823529,20.8,61.1,52.4,33.1,15.6,1.7,11.6,3.9,0.1,0.305993690851735,0.59,0.834,0.474,0.441,,,,,,,,,,,,,,,1.0,0.165,3.0,,0.0,,,,,,,,,,,,,,,0.63,3.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.25,4.5,6.62,2.38,0.03,2005.0,2.0,2.0,1088.0,,,,,,,1.0,,1.256,0.337,2.658,2.091,-0.744,-1.113,-0.043,1.039,24.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,9.0,6.0,-3.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,1.0,,0.0,0.0,0.0,0.0,,4.0,5.0,3.0,3.0,4.0,2.0,5.0,4.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,0.0,,,,,1,243.0,77.063478221,3.7136,1.0,star_track,4.0,superstar,exceeded_expectations,17779458.0,28235049.0,12.0,12881.0,345.0,3.0,21,2808.0,13.922928,6.974533325,18.1,5.0,2353.0,9.270990058,5.006022488,18.7,5.0,3006.0,22.77211369,10.00957269,22.4,6.0,3002.0,23.82479393,11.8483979,24.3,6.0,1712.0,7.272652543,5.612148793,19.1,5.0,,,,,0.0,,,0.0,1.0
Pc047806c80,2005,1,0,college_2008plus,G,73.0,199.0,2.0,21.0,71.5,199.4,76.25,98.0,,,,29.0,33.5,10.5,3.06,6.0,4.75,1,20.84,36.0,31.8,14.592452830188678,4.879245283018868,7.833962264150943,2.2641509433962264,0.350943396226415,20.0,59.6,56.1,34.7,23.7,2.0,11.8,3.3,0.9,0.4818181818181818,0.406,0.701,0.44,0.468,,,,,,,,,,,,,,,1.0,0.155,5.0,,0.0,,,,,,,,,,,,,,,0.557,5.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.89,4.31,6.92,2.0,0.31,2005.0,3.0,3.0,1144.8,,,,,,,1.0,,1.02,0.172,2.875,1.418,-0.399,-1.024,0.685,0.64,26.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,3.0,3.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,5.0,1.0,,0.0,0.0,0.0,0.0,,3.0,4.0,3.0,5.0,3.0,2.0,5.0,4.0,3.0,0.0,0.0,1.0,0.0,0.5,1.0,,,,0.0,,,,,1,245.0,23.836502637,3.2123,4.0,star_track,4.0,semi_star,exceeded_expectations,7500000.0,18832552.0,0.0,13939.0,399.0,0.0,14,2406.0,3.794402971,0.343875091,15.2,2.0,2832.0,3.820379166,-0.103639493,15.1,1.0,2972.0,3.503510706,-0.433748145,15.0,1.0,3086.0,5.62322924,0.827340972,15.3,2.0,2643.0,7.094980554,2.277178643,14.599999999999998,3.0,,,,,0.0,,,0.0,1.0
Pf804162018,2005,1,0,college_pre2008_or_unlinked,G/F,79.0,230.0,3.0,18.56,78.0,229.6,83.0,106.0,,,,28.0,30.5,11.39,3.39,7.0,5.0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,25.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,6.0,6.0,1.0,,0.0,0.0,0.0,0.0,,4.0,5.0,4.0,5.0,2.0,5.0,4.0,5.0,3.0,0.0,1.0,1.0,1.0,0.5,1.0,,,,0.0,,,,,1,219.0,5.011470938,1.7937,23.0,starter_track,3.0,starter,met_expectations,5256000.0,,0.0,6971.0,301.0,0.0,10,1070.0,-0.625638294,-3.892862545,15.5,0.0,1759.0,0.350380817,-2.3601551630000004,13.3,0.0,2132.0,1.687724224,-1.200195373,15.3,1.0,5.0,-0.013097588,-7.838311028,0.0,0.0,2005.0,3.612101779,0.518871361,15.7,2.0,,,,,0.0,,,0.0,1.0
