column,n_overlap,spearman,median_ratio,rows_ours_missing_his_present,action
AST_per,815,0.9895,1.0,6,kept_ours
DRB_per,815,0.996,1.0,6,coalesced_identical
FTA_pg,813,0.9999,1.0,8,coalesced_identical
FT_per,821,1.0,0.01,0,kept_ours
GP,821,0.9763,1.0,0,kept_ours
Min_per,815,0.977,1.0,6,kept_ours
ORB_per,815,0.992,1.0,6,coalesced_identical
ORtg,813,0.9776,1.0,8,kept_ours
TO_per,815,0.9828,1.0,6,kept_ours
TPA_pg,815,1.0,1.0,6,coalesced_identical
TP_per,816,1.0,0.01,5,kept_ours
TS_per,815,0.9708,1.0,6,kept_ours
a_3PAr,0,,,1036,filled_empty
a_AST_TO,0,,,1036,filled_empty
a_AST_USG,0,,,875,filled_empty
a_BPM,0,,,625,filled_empty
a_DBPM,0,,,625,filled_empty
a_DWS40,0,,,834,filled_empty
a_FTAr,0,,,1036,filled_empty
a_G,0,,,1036,filled_empty
a_MP,0,,,1036,filled_empty
a_OBPM,0,,,625,filled_empty
a_OWS40,0,,,834,filled_empty
a_PER,0,,,875,filled_empty
a_PTS,0,,,1036,filled_empty
a_TS,0,,,1036,filled_empty
a_USG,0,,,875,filled_empty
a_WS40,0,,,834,filled_empty
a_eFG,0,,,1036,filled_empty
aau_3p,0,,,52,filled_empty
aau_ast,0,,,52,filled_empty
aau_blk,0,,,52,filled_empty
aau_fg,0,,,52,filled_empty
aau_ft,0,,,52,filled_empty
aau_gp,0,,,52,filled_empty
aau_min,0,,,52,filled_empty
aau_pts,0,,,52,filled_empty
aau_stl,0,,,52,filled_empty
aau_tov,0,,,52,filled_empty
aau_trb,0,,,52,filled_empty
adjoe,813,0.9767,1.0,8,kept_ours
adrtg,813,0.9787,1.0,8,kept_ours
age_at_draft,821,0.9584,1.0011,0,kept_ours
ast,820,1.0,1.0,0,coalesced_identical
ast_tov,796,0.9928,1.0,24,coalesced_identical
blk,820,0.9945,1.0,0,coalesced_identical
blk_per,815,1.0,1.0,6,coalesced_identical
bpm,820,0.9736,1.0,1,kept_ours
c_anthro_n,1002,0.9509,0.875,0,coalesced_combine
c_approach_vert_gain,816,0.9996,1.0,18,coalesced_combine
c_bench,543,0.9995,1.0,19,coalesced_combine
c_bmi_like,940,0.9997,0.9999,22,coalesced_combine
c_body_fat,710,0.9998,1.0,18,coalesced_combine
c_drills_n,1002,0.9612,1.0,0,coalesced_combine
c_fat_mass,708,0.9997,1.0,18,coalesced_combine
c_hand_length,642,0.9999,1.0,6,coalesced_combine
c_hand_length_height_ratio,641,1.0,1.0,6,coalesced_combine
c_hand_width,642,0.9992,1.0,6,coalesced_combine
c_hand_width_height_ratio,641,0.9993,1.0,6,coalesced_combine
c_height_noshoes,942,1.0,1.0,22,coalesced_combine
c_lane_agility,811,0.9972,1.0,18,coalesced_combine
c_lean_mass,708,0.9999,1.0,18,coalesced_combine
c_lean_mass_height_ratio,708,0.9999,1.0,18,coalesced_combine
c_max_touch,816,0.9993,1.0,18,coalesced_combine
c_reach_height_ratio,942,0.9999,1.0,22,coalesced_combine
c_reach_minus_height,942,0.9998,1.0,22,coalesced_combine
c_shoot_pct,0,,,0,coalesced_combine
c_shuttle,386,0.9991,1.0,3,coalesced_combine
c_sprint,815,0.9955,1.0,18,coalesced_combine
c_standing_reach,942,1.0,1.0,22,coalesced_combine
c_standing_touch,818,0.9998,1.0,18,coalesced_combine
c_vert_max,816,0.9986,1.0,18,coalesced_combine
c_vert_standing,818,0.9987,1.0,18,coalesced_combine
