feature,2003_09,2010_18,2019_25
GP,0.741,0.853,0.837
Min_per,0.582,0.849,0.819
ORtg,0.236,0.849,0.819
usg,0.384,0.849,0.819
eFG,0.582,0.849,0.819
TS_per,0.582,0.849,0.819
ORB_per,0.582,0.849,0.819
DRB_per,0.582,0.849,0.819
AST_per,0.582,0.849,0.819
TO_per,0.582,0.849,0.819
FT_per,0.582,0.851,0.832
twoP_per,0.582,0.849,0.819
TP_per,0.406,0.674,0.755
blk_per,0.582,0.849,0.819
stl_per,0.582,0.849,0.819
ftr,0.582,0.849,0.819
porpag,0.0,0.797,0.724
adjoe,0.0,0.797,0.724
pfr,0.0,0.797,0.724
rec_rank,0.534,0.759,0.709
ast_tov,0.0,0.797,0.724
rim_pct,0.0,0.846,0.819
mid_pct,0.0,0.846,0.819
dunk_made,0.0,0.797,0.724
drtg,0.236,0.849,0.819
adrtg,0.236,0.849,0.819
dporpag,0.0,0.797,0.724
stops,0.0,0.797,0.724
bpm,0.236,0.849,0.819
obpm,0.236,0.849,0.819
dbpm,0.236,0.849,0.819
gbpm,0.0,0.797,0.724
mpg,0.582,0.853,0.834
ogbpm,0.0,0.797,0.724
dgbpm,0.0,0.797,0.724
oreb,0.582,0.849,0.819
dreb,0.582,0.849,0.819
treb,0.741,0.849,0.819
ast,0.741,0.849,0.819
stl,0.741,0.849,0.819
blk,0.741,0.849,0.819
pts,0.741,0.849,0.819
TPA_pg,0.582,0.849,0.819
FTA_pg,0.531,0.774,0.804
height_in,1.0,1.0,1.0
class_year,0.741,0.857,0.857
n_college_seasons,0.744,0.853,0.837
age_at_draft,1.0,1.0,1.0
conf,0.0,0.828,0.819
role,1.0,1.0,1.0
