family,cols,live_before,live_after,before_2003_09,after_2003_09,before_2010_18,after_2010_18,before_2019_25,after_2019_25
a_box,17,0,17,0.0,0.52,0.0,0.862,0.0,0.768
all_torvik,50,50,50,0.459,0.459,0.852,0.854,0.827,0.829
combine,30,30,30,0.495,0.522,0.706,0.712,0.632,0.637
comp,20,20,20,0.634,0.634,0.804,0.804,0.673,0.673
game,190,0,190,,0.181,,0.732,,0.716
hoopr,35,0,35,,0.566,,0.831,,0.811
ianstack,1,0,1,,0.537,,0.685,,0.329
intl_fiba,27,17,17,0.106,0.106,0.179,0.179,0.195,0.195
intl_pro,28,26,26,0.229,0.229,0.287,0.287,0.298,0.298
intl_z,39,39,39,0.149,0.149,0.182,0.182,0.18,0.18
j_aau,11,0,11,0.0,0.0,0.0,0.0,0.0,0.133
j_all,67,0,65,0.0,0.026,0.0,0.521,0.0,0.501
j_bio,4,0,4,0.0,0.091,0.0,0.782,0.0,0.658
j_box,25,0,25,0.0,0.037,0.0,0.689,0.0,0.655
j_event,10,0,8,0.0,0.016,0.0,0.34,0.0,0.198
j_shot,14,0,14,0.0,0.0,0.0,0.629,0.0,0.657
j_team,3,0,3,0.0,0.091,0.0,0.782,0.0,0.651
mock,7,7,7,0.38,0.38,0.827,0.827,0.935,0.935
momentum,36,36,36,0.102,0.102,0.452,0.452,0.5,0.5
person,41,41,41,0.741,0.741,0.825,0.825,0.838,0.838
phys,4,4,4,0.787,0.832,0.94,0.949,0.886,0.908
response,158,147,158,0.503,0.485,0.768,0.773,0.736,0.741
scouting,25,25,25,0.5,0.5,0.784,0.784,0.623,0.623
shrunk,24,0,24,,0.239,,0.853,,0.829
srcflag,1,1,1,1.0,1.0,1.0,1.0,1.0,1.0
tctx,156,107,156,0.185,0.156,0.826,0.815,0.792,0.779
traj,16,10,16,0.064,0.111,0.384,0.61,0.321,0.515
transfers,9,0,9,,0.08,,0.308,,0.377
tv:adv,14,14,14,0.151,0.151,0.829,0.829,0.786,0.786
tv:bio,5,5,5,0.861,0.861,0.916,0.916,0.916,0.916
tv:cat,2,2,2,0.5,0.5,0.914,0.914,0.909,0.909
tv:core,13,13,13,0.457,0.457,0.87,0.87,0.848,0.848
tv:count,12,12,12,0.667,0.667,0.851,0.853,0.832,0.836
tv:rate,14,14,14,0.537,0.538,0.847,0.85,0.823,0.828
tv:shotloc,3,3,3,0.0,0.0,0.846,0.846,0.819,0.819
