col,n,rho_raw,rho_res,abs_res
gl2_stl40,277,0.2832303950228282,0.2574621078459194,0.2574621078459194
gl2_t100_spg,277,0.2649404573737746,0.2255472516805761,0.2255472516805761
gl2_t50_spg,267,0.2640900844833384,0.21683101220372597,0.21683101220372597
gl2_ast40,277,0.22659546718061743,0.21151516657746494,0.21151516657746494
gl2_t50_apg,267,0.21790387253559654,0.19311207746729794,0.19311207746729794
gl2_close_d_gmsc40,272,-0.2388204092618737,-0.18196006489640393,0.18196006489640393
gl2_close_d_ts,272,-0.16952456564152094,-0.1759352503838506,0.1759352503838506
gl2_late_d_ast40,271,-0.14476285149011825,-0.1738665697807767,0.1738665697807767
gl2_ncaa_d_stl40,158,0.12784043233258513,0.17228556678139625,0.17228556678139625
gl2_d100_efg,277,-0.1594371178613791,-0.17218387904450985,0.17218387904450985
gl2_t100_apg,277,0.19088120526425564,0.1713550571167846,0.1713550571167846
gl2_pase_neg,205,0.1772512159030293,0.16339841710877248,0.16339841710877248
gl2_ncaa_d_tov40,158,-0.16357848718094728,-0.1559016035545336,0.1559016035545336
gl2_d100_gmsc40,277,-0.12184296373877056,-0.15351864441214624,0.15351864441214624
gl2_gp,277,0.20689309349438148,0.15351554921272179,0.15351554921272179
gl2_g_all,277,0.20689309349438148,0.15351554921272179,0.15351554921272179
gl2_d100_fg,277,-0.1446123858213855,-0.15239084131398398,0.15239084131398398
gl2_d100_ts,277,-0.11418943050315473,-0.15028366027760917,0.15028366027760917
gl2_t50_fg,267,-0.14284718613322792,-0.14839547859292868,0.14839547859292868
gl2_t50_efg,267,-0.15786288522626338,-0.14741337981458189,0.14741337981458189
gl2_gmsc_skew,277,-0.19431797152626112,-0.14692239295317389,0.14692239295317389
gl2_last10_d_pts40,275,-0.08480737167173706,-0.1466850712824922,0.1466850712824922
gl2_t50_ts,267,-0.13704766517328335,-0.14147498775187572,0.14147498775187572
gl2_final_season_end,277,-0.10016526201359219,-0.14127736081385214,0.14127736081385214
gl2_final_is_predraft_season,277,-0.10016526201359219,-0.14127736081385214,0.14127736081385214
gl2_t100_fg,277,-0.09774938184703465,-0.13921586135176056,0.13921586135176056
gl2_t100_ts,277,-0.08792042847584522,-0.13872145493369134,0.13872145493369134
gl2_d50_efg,267,-0.1846340484337605,-0.1377125984340561,0.1377125984340561
gl2_close_minus_blow_gmsc40,258,-0.15876131220783912,-0.13684612586117373,0.13684612586117373
gl2_d50_gmsc40,267,-0.16053906569834872,-0.1355534092714048,0.1355534092714048
gl2_d50_ts,267,-0.17774449849392057,-0.1346025949501475,0.1346025949501475
gl2_team_g,277,0.2012816385901848,0.1345251006157861,0.1345251006157861
gl2_pase,205,0.14794408824630959,0.12890771257587266,0.12890771257587266
gl2_t100_ppg,277,-0.05061469897987603,-0.12886023594310392,0.12886023594310392
gl2_t100_efg,277,-0.1074526257373915,-0.12818471794956293,0.12818471794956293
gl2_team_g_sched,277,0.20609654766197788,0.12797527154920824,0.12797527154920824
