season,model_rank,pid,player,actual_pick,score
2019,1,Pbc4309c829,Jarrett Culver,6,1.0
2019,2,P00e7133fc6,Zion Williamson,1,0.9828
2019,3,Pb16e641fe9,Ty Jerome,24,0.9655
2019,4,P5cd98708f1,Bruno Fernando,34,0.9483
2019,5,P5277c76d51,Goga Bitadze,18,0.931
2019,6,Pfe4fcea486,Ja Morant,2,0.9052
2019,7,P6f1d3c64d2,Nickeil Alexander-Walker,17,0.9052
2019,8,P7c5888ec9d,Chuma Okeke,16,0.8793
2019,9,P846172a369,De'Andre Hunter,4,0.8621
2019,10,P023bbe5ec1,Grant Williams,22,0.8448
2019,11,P4832cf3ea3,Matisse Thybulle,20,0.8276
2019,12,Pa9cae64430,RJ Barrett,3,0.8103
2019,13,Ped6b9a1a7c,Jaxson Hayes,8,0.7931
2019,14,P273938bb97,Bol Bol,44,0.7759
2019,15,P90a39c14ab,Isaiah Roby,45,0.7586
2019,16,P43dec358d1,Coby White,7,0.7414
2019,17,Pd50729b5d0,Ignas Brazdeikis,47,0.7241
2019,18,P4a79c6caeb,P.J. Washington,12,0.7069
2019,19,P8209ad6040,Mfiondu Kabengele,27,0.6897
2019,20,Pe661d7acde,Nicolas Claxton,31,0.6724
2019,21,P714602a9aa,Romeo Langford,14,0.6552
2019,22,P297d12820e,Darius Garland,5,0.6293
2019,23,Pa4c28f80ad,Keldon Johnson,29,0.6293
2019,24,Peecc71d248,Brandon Clarke,21,0.6034
2019,25,P4ebfdd4833,Tyler Herro,13,0.5862
2019,26,P2bdd03741b,Didi Louzada,35,0.569
2019,27,P14a01dedf9,Carsen Edwards,33,0.5517
2019,28,Pb14f594f0a,Cameron Johnson,11,0.5259
2019,29,P6336d0d324,Justin James,40,0.5259
2019,30,P2f4b26e6e1,Daniel Gafford,38,0.5
2019,31,P76650bc6e2,Alen Smailagic,39,0.4828
2019,32,P338a42b9d0,Jalen McDaniels,52,0.4655
2019,33,Pd88f1bdac2,Miye Oni,58,0.4483
2019,34,P7ff4af5e7c,Eric Paschall,41,0.431
2019,35,Pbea2d75e26,Rui Hachimura,9,0.4138
2019,36,P9b3e496395,Luka Samanic,19,0.3966
2019,37,P18facb688d,Terance Mann,48,0.3793
2019,38,Pf1b3205a09,Dylan Windler,26,0.3621
2019,39,Pf6db5ed983,Tremont Waters,51,0.3448
2019,40,P277650e4b3,Jarrell Brantley,50,0.3276
2019,41,Pb15c668c3a,Darius Bazley,23,0.3103
2019,42,P8a97dbabe6,Dewan Hernandez,59,0.2931
2019,43,P2084d7c5fc,Admiral Schofield,42,0.2759
2019,44,P1ddfe32e8c,Cody Martin,36,0.2586
2019,45,Pd17e70140c,KZ Okpala,32,0.2414
2019,46,P2f61c21e93,Cam Reddish,10,0.2241
2019,47,Pefa2378416,Jordan Poole,28,0.2069
2019,48,Pba03162225,Kevin Porter Jr.,30,0.1897
2019,49,P9540818d9f,Sekou Doumbouya,15,0.1724
2019,50,P4797fb50d3,Quinndary Weatherspoon,49,0.1552
2019,51,P5c11762ec9,Talen Horton-Tucker,46,0.1379
2019,52,P6a5f6ac2d8,Nassir Little,25,0.1207
2019,53,P2c24c6affb,Jordan Bone,57,0.1034
2019,54,P224fa713e4,Marial Shayok,54,0.0862
2019,55,P027da49c30,Deividas Sirvydis,37,0.069
2019,56,Pb69fbd28c6,Kyle Guy,55,0.0517
2019,57,Pab169ed872,Jaylen Nowell,43,0.0345
2019,58,Pdee21247bb,Justin Wright-Foreman,53,0.0172
2020,1,P1388f2fd26,Tyrese Haliburton,12,1.0
2020,2,Pe0b660d280,Isaiah Stewart,16,0.9828
2020,3,P716f6175e4,Tre Jones,41,0.9655
2020,4,P90a7395cb0,Jalen Smith,10,0.9483
2020,5,P6232d5a44f,Onyeka Okongwu,6,0.931
2020,6,P7699b7f669,Isaac Okoro,5,0.9138
2020,7,P41612ab4e2,Obi Toppin,8,0.8966
2020,8,P3ff36ffdc1,LaMelo Ball,3,0.8793
2020,9,P35f0fb7731,Anthony Edwards,1,0.8621
2020,10,Pd70c9ef8df,Devin Vassell,11,0.8362
2020,11,P0df73941d8,Kira Lewis Jr.,13,0.8362
2020,12,Pba698d642d,James Wiseman,2,0.8103
2020,13,Pfe5913c014,Killian Hayes,7,0.7931
2020,14,P04526b8576,Saddiq Bey,19,0.7759
2020,15,P5be180758a,Desmond Bane,30,0.7586
2020,16,P1f88525e9f,Xavier Tillman,35,0.7414
2020,17,P9d5ce33ec0,Reggie Perry,57,0.7241
2020,18,P0cd98a270c,Josh Green,18,0.7069
2020,19,P429838957d,Jahmi'us Ramsey,43,0.681
2020,20,Pe237a28a37,Zeke Nnaji,22,0.681
2020,21,Pa430d00e1f,Deni Avdija,9,0.6466
2020,22,P32d7e7e1eb,Tyler Bey,36,0.6466
2020,23,Pf46613d969,Payton Pritchard,26,0.6207
2020,24,P2ca61183dc,Skylar Mays,50,0.6034
2020,25,P3c885ec031,R.J. Hampton,24,0.5862
2020,26,Pa3fa433740,Tyrese Maxey,21,0.569
2020,27,P173da90181,CJ Elleby,46,0.5517
2020,28,Pb7d583a85a,Precious Achiuwa,20,0.5345
2020,29,P69f4c7679c,Malachi Flynn,29,0.5172
2020,30,P170284fab5,Paul Reed,58,0.5
2020,31,P04282e0cbf,Robert Woodard II,40,0.4828
2020,32,Pdc083a80a9,Elijah Hughes,39,0.4655
2020,33,Pde7308c87b,Theo Maledon,34,0.4483
2020,34,P388cb0d5da,Cole Anthony,15,0.431
2020,35,Pee12c1b431,Jay Scrubb,55,0.4138
2020,36,P48772fff87,Daniel Oturu,33,0.3966
2020,37,P625909539a,KJ Martin,52,0.3793
2020,38,P08bc96e9be,Udoka Azubuike,27,0.3621
2020,39,P866e6f90bf,Isaiah Joe,49,0.3448
2020,40,P272ac40c3c,Patrick Williams,4,0.3276
2020,41,Pe6c9de6d86,Aaron Nesmith,14,0.3103
2020,42,P9cddcdc1ad,Jordan Nwora,45,0.2931
2020,43,P289da7f9c1,Tyrell Terry,31,0.2759
2020,44,P3bfc12237e,Vit Krejci,37,0.2586
2020,45,Pad0b972baf,Vernon Carey Jr.,32,0.2414
2020,46,P63236d3a70,Immanuel Quickley,25,0.2241
2020,47,P198bb02a0c,Saben Lee,38,0.2069
2020,48,P8884c4fd03,Sam Merrill,60,0.1897
2020,49,Pdc49b6ecb0,Grant Riller,56,0.1724
2020,50,P641ed83c9a,Jalen Harris,59,0.1552
2020,51,P1cf3ac09b1,Cassius Winston,53,0.1379
2020,52,P87be528da0,Leandro Bolmaro,23,0.1207
2020,53,Pb3e461d4cf,Cassius Stanley,54,0.1034
2020,54,P04b95b58e0,Marko Simonovic,44,0.0862
2020,55,Pc2d24d5902,Nico Mannion,48,0.069
2020,56,P2b95cb9990,Nick Richards,42,0.0517
2020,57,Pa7dbf13041,Jaden McDaniels,28,0.0259
2020,58,P842bafbfda,Aleksej Pokusevski,17,0.0259
2021,1,P61afdc25a4,Cade Cunningham,1,1.0
2021,2,P45a39b68c1,Scottie Barnes,4,0.9821
2021,3,Pc3e0235987,Evan Mobley,3,0.9643
2021,4,Pa0882490f6,Moses Moody,14,0.9464
2021,5,Pb2632428b5,Franz Wagner,8,0.9286
2021,6,P0057628fa2,Corey Kispert,15,0.9107
2021,7,Pc97a1282a3,Jalen Suggs,5,0.8929
2021,8,P64263ced9d,Jalen Green,2,0.875
2021,9,P87ada0d006,Isaiah Jackson,22,0.8482
2021,10,P2c8aa67899,Davion Mitchell,9,0.8482
2021,11,P90932c4b0a,Neemias Queta,39,0.8214
2021,12,Pb3cfb2c388,Alperen Sengun,16,0.8036
2021,13,P05f9ca4653,Chris Duarte,13,0.7857
2021,14,P69549f38f2,Kai Jones,19,0.7679
2021,15,P5480a34012,Jeremiah Robinson-Earl,32,0.75
2021,16,P392363bcf2,Jalen Johnson,20,0.7321
2021,17,P82dc635a40,Jared Butler,40,0.7143
2021,18,P854a3a23a2,Josh Giddey,6,0.6964
2021,19,P0326e23b0d,Charles Bassey,53,0.6786
2021,20,P9fd480084b,Ayo Dosunmu,38,0.6607
2021,21,P7dcdc4ccdd,Jonathan Kuminga,7,0.6429
2021,22,P606c98790a,Miles McBride,36,0.625
2021,23,P624b2b5afe,Sandro Mamukelashvili,54,0.6071
2021,24,Pe728a39ea0,Day'Ron Sharpe,29,0.5893
2021,25,P88205fde52,Quentin Grimes,25,0.5714
2021,26,P21372aaded,Herbert Jones,35,0.5536
2021,27,P90b2305671,Jaden Springer,28,0.5357
2021,28,P3364db28a5,Kessler Edwards,44,0.5179
2021,29,Pc131e1ee6f,Aaron Wiggins,55,0.5
2021,30,Pc624860c4a,JT Thor,37,0.4821
2021,31,P213b82c86a,Santi Aldama,30,0.4643
2021,32,Pa090759337,James Bouknight,11,0.4464
2021,33,P4110110f37,Usman Garuba,23,0.4286
2021,34,Pa09bdf4e64,Georgios Kalaitzakis,60,0.4107
2021,35,P4e35bd6add,Joshua Primo,12,0.3929
2021,36,P30169adef4,Jason Preston,33,0.375
2021,37,Pb1d56c9c96,Isaiah Todd,31,0.3571
2021,38,Pbfadf35dca,Isaiah Livers,42,0.3393
2021,39,P9e82692a6d,Ziaire Williams,10,0.3214
2021,40,P2b13664da5,RaiQuan Gray,59,0.3036
2021,41,Pf6213e9937,Josh Christopher,24,0.2857
2021,42,P1e1b55c58c,Sharife Cooper,48,0.2679
2021,43,Pb149e1d8c2,Dalano Banton,46,0.25
2021,44,Pd1118f9ab3,Scottie Lewis,56,0.2321
2021,45,P54240b8a24,Trey Murphy III,17,0.2054
2021,46,P721d8fa8f9,Keon Johnson,21,0.2054
2021,47,Pfce02776de,Tre Mann,18,0.1786
2021,48,P152905cef4,David Johnson,47,0.1607
2021,49,Pba95727095,Jericho Sims,58,0.1429
2021,50,P60da7b4537,Luka Garza,52,0.125
2021,51,P30aaba02d5,Filip Petrusev,50,0.1071
2021,52,P61d8f8df57,Bones Hyland,26,0.0893
2021,53,P5705590403,Brandon Boston Jr.,51,0.0714
2021,54,Pac178f1473,Joe Wieskamp,41,0.0536
2021,55,P6680e3073f,Greg Brown III,43,0.0268
2021,56,Pe28113186c,Cam Thomas,27,0.0268
2022,1,P3a5b76349f,Mark Williams,15,1.0
2022,2,Pbfdaa31fd0,Chet Holmgren,2,0.9808
2022,3,Pe3c0fc5a9e,Jeremy Sochan,9,0.9615
2022,4,P12c0373e62,Jabari Smith Jr.,3,0.9423
2022,5,Pa2e8c74c1f,Jaylin Williams,34,0.9231
2022,6,Pfa7a6f2536,Paolo Banchero,1,0.8942
2022,7,P3a3a5bbbef,Jalen Duren,13,0.8942
2022,8,P3b1e823247,Christian Braun,21,0.8654
2022,9,P86df290cda,Keegan Murray,4,0.8462
2022,10,Pa6b76d042d,Wendell Moore Jr.,26,0.8269
2022,11,P416088a2b5,Dalen Terry,18,0.8077
2022,12,Pa5128e8532,Walker Kessler,22,0.7885
2022,13,Pab39ee5462,Dyson Daniels,8,0.7692
2022,14,Pce7c8a9da0,Bennedict Mathurin,6,0.75
2022,15,P97df826a61,Jake LaRavia,19,0.7308
2022,16,P76ebdc8d77,Andrew Nembhard,31,0.7115
2022,17,P7d4b1d6e8f,Shaedon Sharpe,7,0.6923
2022,18,Pe22f69b7a0,E.J. Liddell,41,0.6731
2022,19,P14882ceff6,Tari Eason,17,0.6538
2022,20,P16b88a2183,Jaden Ivey,5,0.6346
2022,21,Pa89859be17,Jalen Williams,12,0.6154
2022,22,Pa95793f720,AJ Griffin,16,0.5962
2022,23,Pa408da26a2,TyTy Washington Jr.,29,0.5769
2022,24,P7c29e11a29,Isaiah Mobley,49,0.5577
2022,25,P919e355315,Johnny Davis,10,0.5385
2022,26,Pdd8eeaed18,Jabari Walker,57,0.5192
2022,27,P1191691c20,Nikola Jović,27,0.5
2022,28,P70fa3dc827,Caleb Houstan,32,0.4808
2022,29,P76f8234113,Josh Minott,45,0.4615
2022,30,Pa067c50f94,JD Davison,53,0.4423
2022,31,P5cba6e4b4b,Blake Wesley,25,0.4231
2022,32,Paee04abbe6,Karlo Matković,52,0.4038
2022,33,P9345155d6a,Christian Koloko,33,0.3846
2022,34,Pae46fa4aa5,Malaki Branham,20,0.3654
2022,35,Pc69570e4d2,Peyton Watson,30,0.3365
2022,36,P9a2935e78c,Tyrese Martin,51,0.3365
2022,37,P20596267f7,Jaden Hardy,37,0.3077
2022,38,P6876f611cb,Vince Williams Jr.,47,0.2885
2022,39,Pafb050f1ad,Ryan Rollins,44,0.2692
2022,40,P9d848af991,Ochai Agbaji,14,0.25
2022,41,P63014948f5,David Roddy,23,0.2308
2022,42,Pd3eb42d2a8,Gui Santos,55,0.2115
